시점,성별,연령계층별,데이터
2018 2/4,여자,30 - 39세,3.5
2018 2/4,여자,40 - 49세,2.6
2018 2/4,여자,50 - 59세,2.3
2018 2/4,여자,60세이상,1.8
2018 3/4,계,계,3.8
2018 3/4,계,15 - 19세,9.6
2018 3/4,계,20 - 29세,9.4
2018 3/4,계,30 - 39세,3.6
2018 3/4,계,40 - 49세,2.6
2018 3/4,계,50 - 59세,2.6
2018 3/4,계,60세이상,2.3
2018 3/4,남자,계,3.9
2018 3/4,남자,15 - 19세,9.8
2018 3/4,남자,20 - 29세,10.5
2018 3/4,남자,30 - 39세,3.6
2018 3/4,남자,40 - 49세,2.7
2018 3/4,남자,50 - 59세,2.7
2018 3/4,남자,60세이상,2.9
2018 3/4,여자,계,3.6
2018 3/4,여자,15 - 19세,9.4
2018 3/4,여자,20 - 29세,8.3
2018 3/4,여자,30 - 39세,3.5
2018 3/4,여자,40 - 49세,2.4
2018 3/4,여자,50 - 59세,2.5
2018 3/4,여자,60세이상,1.6
2018 4/4,계,계,3.4
2018 4/4,계,15 - 19세,6.6
2018 4/4,계,20 - 29세,8.4
2018 4/4,계,30 - 39세,3.0
2018 4/4,계,40 - 49세,2.3
2018 4/4,계,50 - 59세,2.3
2018 4/4,계,60세이상,2.4
2018 4/4,남자,계,3.6
2018 4/4,남자,15 - 19세,8.9
2018 4/4,남자,20 - 29세,9.3
2018 4/4,남자,30 - 39세,3.1
2018 4/4,남자,40 - 49세,2.3
2018 4/4,남자,50 - 59세,2.4
2018 4/4,남자,60세이상,3.3
2018 4/4,여자,계,3.1
2018 4/4,여자,15 - 19세,4.8
2018 4/4,여자,20 - 29세,7.6
2018 4/4,여자,30 - 39세,2.8
2018 4/4,여자,40 - 49세,2.2
2018 4/4,여자,50 - 59세,2.2
2018 4/4,여자,60세이상,1.2
2019 1/4,계,계,4.5
2019 1/4,계,15 - 19세,11.6
2019 1/4,계,20 - 29세,9.6
2019 1/4,계,30 - 39세,3.4
2019 1/4,계,40 - 49세,2.6
2019 1/4,계,50 - 59세,3.0
2019 1/4,계,60세이상,5.7
2019 1/4,남자,계,4.4
2019 1/4,남자,15 - 19세,14.5
2019 1/4,남자,20 - 29세,10.9
2019 1/4,남자,30 - 39세,3.2
2019 1/4,남자,40 - 49세,2.6
2019 1/4,남자,50 - 59세,3.2
2019 1/4,남자,60세이상,5.3
2019 1/4,여자,계,4.5
2019 1/4,여자,15 - 19세,9.0
2019 1/4,여자,20 - 29세,8.4
2019 1/4,여자,30 - 39세,3.7
2019 1/4,여자,40 - 49세,2.6
2019 1/4,여자,50 - 59세,2.7
2019 1/4,여자,60세이상,6.4
2019 2/4,계,계,4.1
2019 2/4,계,15 - 19세,8.0
2019 2/4,계,20 - 29세,10.8
2019 2/4,계,30 - 39세,3.8
2019 2/4,계,40 - 49세,2.4
2019 2/4,계,50 - 59세,2.6
2019 2/4,계,60세이상,3.1
2019 2/4,남자,계,4.3
2019 2/4,남자,15 - 19세,11.1
2019 2/4,남자,20 - 29세,11.6
2019 2/4,남자,30 - 39세,3.8
2019 2/4,남자,40 - 49세,2.6
2019 2/4,남자,50 - 59세,2.9
2019 2/4,남자,60세이상,3.8
2019 2/4,여자,계,3.9
2019 2/4,여자,15 - 19세,4.8
2019 2/4,여자,20 - 29세,9.9
2019 2/4,여자,30 - 39세,3.8
2019 2/4,여자,40 - 49세,2.2
2019 2/4,여자,50 - 59세,2.2
2019 2/4,여자,60세이상,2.2
2019 3/4,계,계,3.3
2019 3/4,계,15 - 19세,8.8
2019 3/4,계,20 - 29세,8.1
2019 3/4,계,30 - 39세,3.2
2019 3/4,계,40 - 49세,2.1
2019 3/4,계,50 - 59세,2.3
2019 3/4,계,60세이상,2.3
2019 3/4,남자,계,3.5
2019 3/4,남자,15 - 19세,10.1
2019 3/4,남자,20 - 29세,8.4
2019 3/4,남자,30 - 39세,3.4
2019 3/4,남자,40 - 49세,2.1
2019 3/4,남자,50 - 59세,2.7
2019 3/4,남자,60세이상,2.9
2019 3/4,여자,계,3.1
2019 3/4,여자,15 - 19세,7.8
2019 3/4,여자,20 - 29세,7.7
2019 3/4,여자,30 - 39세,2.9
2019 3/4,여자,40 - 49세,2.2
2019 3/4,여자,50 - 59세,1.8
2019 3/4,여자,60세이상,1.5
2019 4/4,계,계,3.1
2019 4/4,계,15 - 19세,5.5
2019 4/4,계,20 - 29세,7.2
2019 4/4,계,30 - 39세,2.9
2019 4/4,계,40 - 49세,2.0
2019 4/4,계,50 - 59세,2.2
2019 4/4,계,60세이상,2.8
2019 4/4,남자,계,3.3
2019 4/4,남자,15 - 19세,6.5
2019 4/4,남자,20 - 29세,7.7
2019 4/4,남자,30 - 39세,2.9
2019 4/4,남자,40 - 49세,2.1
2019 4/4,남자,50 - 59세,2.4
2019 4/4,남자,60세이상,3.4
2019 4/4,여자,계,3.0
2019 4/4,여자,15 - 19세,4.7
2019 4/4,여자,20 - 29세,6.7
2019 4/4,여자,30 - 39세,2.8
2019 4/4,여자,40 - 49세,1.9
2019 4/4,여자,50 - 59세,2.0
2019 4/4,여자,60세이상,2.1
2020 1/4,계,계,4.2
2020 1/4,계,15 - 19세,10.8
2020 1/4,계,20 - 29세,8.7
2020 1/4,계,30 - 39세,3.2
2020 1/4,계,40 - 49세,2.4
2020 1/4,계,50 - 59세,3.0
2020 1/4,계,60세이상,5.3
2020 1/4,남자,계,4.0
2020 1/4,남자,15 - 19세,12.3
2020 1/4,남자,20 - 29세,9.5
2020 1/4,남자,30 - 39세,2.8
2020 1/4,남자,40 - 49세,2.3
2020 1/4,남자,50 - 59세,3.1
2020 1/4,남자,60세이상,5.0
2020 1/4,여자,계,4.3
2020 1/4,여자,15 - 19세,9.6
2020 1/4,여자,20 - 29세,8.0
2020 1/4,여자,30 - 39세,3.7
2020 1/4,여자,40 - 49세,2.4
2020 1/4,여자,50 - 59세,2.8
2020 1/4,여자,60세이상,5.6
2020 2/4,계,계,4.4
2020 2/4,계,15 - 19세,8.2
2020 2/4,계,20 - 29세,10.1
2020 2/4,계,30 - 39세,3.7
2020 2/4,계,40 - 49세,2.8
2020 2/4,계,50 - 59세,3.5
2020 2/4,계,60세이상,3.5
2020 2/4,남자,계,4.4
2020 2/4,남자,15 - 19세,10.7
2020 2/4,남자,20 - 29세,11.1
2020 2/4,남자,30 - 39세,3.6
2020 2/4,남자,40 - 49세,2.7
2020 2/4,남자,50 - 59세,3.4
2020 2/4,남자,60세이상,4.0
2020 2/4,여자,계,4.4
2020 2/4,여자,15 - 19세,6.1
2020 2/4,여자,20 - 29세,9.2
2020 2/4,여자,30 - 39세,4.0
2020 2/4,여자,40 - 49세,3.0
2020 2/4,여자,50 - 59세,3.6
2020 2/4,여자,60세이상,2.9
2020 3/4,계,계,3.6
2020 3/4,계,15 - 19세,8.9
2020 3/4,계,20 - 29세,8.7
2020 3/4,계,30 - 39세,3.3
2020 3/4,계,40 - 49세,2.4
2020 3/4,계,50 - 59세,2.6
2020 3/4,계,60세이상,2.4
2020 3/4,남자,계,3.6
2020 3/4,남자,15 - 19세,12.3
2020 3/4,남자,20 - 29세,9.8
2020 3/4,남자,30 - 39세,3.1
2020 3/4,남자,40 - 49세,2.4
2020 3/4,남자,50 - 59세,2.4
2020 3/4,남자,60세이상,2.8
2020 3/4,여자,계,3.6
2020 3/4,여자,15 - 19세,6.1
2020 3/4,여자,20 - 29세,7.7
2020 3/4,여자,30 - 39세,3.6
2020 3/4,여자,40 - 49세,2.5
2020 3/4,여자,50 - 59세,2.8
2020 3/4,여자,60세이상,1.9
2020 4/4,계,계,3.7
2020 4/4,계,15 - 19세,6.4
2020 4/4,계,20 - 29세,8.3
2020 4/4,계,30 - 39세,3.8
2020 4/4,계,40 - 49세,2.4
2020 4/4,계,50 - 59세,2.6
2020 4/4,계,60세이상,3.3
2020 4/4,남자,계,3.6
2020 4/4,남자,15 - 19세,6.7
2020 4/4,남자,20 - 29세,9.0
2020 4/4,남자,30 - 39세,3.5
2020 4/4,남자,40 - 49세,2.5
2020 4/4,남자,50 - 59세,2.5
2020 4/4,남자,60세이상,3.2
2020 4/4,여자,계,3.9
2020 4/4,여자,15 - 19세,6.1
2020 4/4,여자,20 - 29세,7.5
2020 4/4,여자,30 - 39세,4.4
2020 4/4,여자,40 - 49세,2.3
2020 4/4,여자,50 - 59세,2.7
2020 4/4,여자,60세이상,3.3
2021 1/4,계,계,5.0
2021 1/4,계,15 - 19세,12.4
2021 1/4,계,20 - 29세,9.7
2021 1/4,계,30 - 39세,4.1
2021 1/4,계,40 - 49세,2.7
2021 1/4,계,50 - 59세,3.5
2021 1/4,계,60세이상,6.6
2021 1/4,남자,계,4.6
2021 1/4,남자,15 - 19세,11.8
2021 1/4,남자,20 - 29세,10.8
2021 1/4,남자,30 - 39세,3.7
2021 1/4,남자,40 - 49세,2.6
2021 1/4,남자,50 - 59세,3.2
2021 1/4,남자,60세이상,5.9
2021 1/4,여자,계,5.4
2021 1/4,여자,15 - 19세,12.9
2021 1/4,여자,20 - 29세,8.7
2021 1/4,여자,30 - 39세,4.7
2021 1/4,여자,40 - 49세,3.0
2021 1/4,여자,50 - 59세,3.8
2021 1/4,여자,60세이상,7.6
2021 2/4,계,계,3.9
2021 2/4,계,15 - 19세,9.3
2021 2/4,계,20 - 29세,9.4
2021 2/4,계,30 - 39세,3.3
2021 2/4,계,40 - 49세,2.7
2021 2/4,계,50 - 59세,2.8
2021 2/4,계,60세이상,3.2
2021 2/4,남자,계,3.9
2021 2/4,남자,15 - 19세,10.7
2021 2/4,남자,20 - 29세,10.8
2021 2/4,남자,30 - 39세,2.9
2021 2/4,남자,40 - 49세,2.4
2021 2/4,남자,50 - 59세,2.6
2021 2/4,남자,60세이상,3.9
2021 2/4,여자,계,4.0
2021 2/4,여자,15 - 19세,8.0
2021 2/4,여자,20 - 29세,8.0
2021 2/4,여자,30 - 39세,4.0
2021 2/4,여자,40 - 49세,3.1
2021 2/4,여자,50 - 59세,3.0
2021 2/4,여자,60세이상,2.3
2021 3/4,계,계,2.8
2021 3/4,계,15 - 19세,7.3
2021 3/4,계,20 - 29세,6.1
2021 3/4,계,30 - 39세,2.8
2021 3/4,계,40 - 49세,2.0
2021 3/4,계,50 - 59세,2.2
2021 3/4,계,60세이상,2.2
2021 3/4,남자,계,2.9
2021 3/4,남자,15 - 19세,10.3
2021 3/4,남자,20 - 29세,6.9
2021 3/4,남자,30 - 39세,2.6
2021 3/4,남자,40 - 49세,2.0
2021 3/4,남자,50 - 59세,2.3
2021 3/4,남자,60세이상,2.6
2021 3/4,여자,계,2.7
2021 3/4,여자,15 - 19세,5.1
2021 3/4,여자,20 - 29세,5.3
2021 3/4,여자,30 - 39세,3.1
2021 3/4,여자,40 - 49세,1.9
2021 3/4,여자,50 - 59세,2.0
2021 3/4,여자,60세이상,1.8
